folderyear,licencersn,licencenumber,licencerevisionnumber,businessname,businesstradename,status,issueddate,expireddate,businesstype,businesssubtype,unit,unittype,house,street,city,province,country,postalcode,localarea,numberofemployees,feepaid,extractdate,geom,geo_point_2d,longitude,latitude,feepaid_missing,feepaid_clean,business_group
26,4874007,26-151423,00,1287476 BC Ltd,Collingwood Pharmacy,Issued,2026-04-08T11:30:13-07:00,2026-12-31,Pharmacy,Small Pharmacy,,,2732,E 41ST AV,Vancouver,BC,CA,V5R 2X1,Victoria-Fraserview,6.0,376.0,2026-07-22T00:08:58-07:00,,,-123.050603991603,49.2325131484884,0,376.0,Other
26,4844633,26-122050,00,Raymond Joe & Chiu C Lin,Chestnut's Cafe,Issued,2025-12-28T15:22:13-08:00,2026-12-31,Limited Service Food Establishment,Without Liquor,,,2342,E HASTINGS ST,Vancouver,BC,CA,V5L 1V5,Grandview-Woodland,3.0,723.0,2026-07-22T00:08:56-07:00,,,-123.057157829527,49.280866821389,0,723.0,Limited Service Food Establishment
25,4628337,25-120616,00,Westcott Middlegate Rental Agency Ltd,Lyncroft Towers,Issued,2024-12-24T11:54:36-08:00,2025-12-31,Long-term Rental,,,,1414,Barclay St,Vancouver,BC,CA,V6J 1G4,West End,0.0,10554.0,2026-07-01T02:32:20-07:00,,,-123.132667671303,49.2863539404434,0,10554.0,Long-term Rental
25,4754173,25-230136,00,(Shane Lanouette),Shane Lanouette,Issued,2025-05-23T08:17:08-07:00,2025-12-31,Health Care Professionals and Services,,,,6317,CAMBIE ST,Vancouver,BC,,V5Z 3B2,Oakridge,1.0,251.0,2026-07-01T02:32:23-07:00,,,-123.117020608963,49.2275955498881,0,251.0,Health Care Professionals and Services
26,4924072,26-183985,00,(Maria Har),,Issued,2026-01-16T16:29:54-08:00,2026-12-31,Health Care Professionals and Services,,668,Unit,1199,W PENDER ST,Vancouver,BC,,V6E 2R1,Downtown,1.0,354.0,2026-07-22T00:08:58-07:00,,,-123.122585601107,49.2883558777116,0,354.0,Health Care Professionals and Services
26,4891528,26-158788,00,DETOURS TRAVEL INC.,,Issued,2025-12-05T09:41:47-08:00,2026-12-31,Tourism Services,,400,Unit,601,W BROADWAY,Vancouver,BC,,V5Z 4C2,Fairview,5.0,277.0,2026-07-22T00:08:58-07:00,,,-123.118596122757,49.2635657969344,0,277.0,Other
26,4832619,26-110037,00,Always Amazing Food Ltd,Browns Crafthouse,Issued,2026-02-04T10:44:00-08:00,2026-12-31,Restaurant,Class 1 with liquor service,,,202,E 16TH AV,Vancouver,BC,CA,V5T 2T4,Riley Park,70.0,2482.0,2026-07-22T00:08:55-07:00,,,-123.100886467345,49.2564055813658,0,2482.0,Restaurant
24,4561107,24-310358,11,The View's Dosa Hub Ltd,,Issued,2024-08-23T16:38:35-07:00,2024-12-31,Restaurant,Class 1 with liquor service,110,Unit,8248,FRASER ST,Vancouver,BC,CA,V5X 3X6,Sunset,3.0,,2026-07-01T02:32:18-07:00,,,-123.090270844705,49.2097368613846,1,1384.0,Restaurant
25,4653953,25-146230,00,Atheneum Cannabis Corp,Atheneum Cannabis,Issued,2024-12-20T14:29:40-08:00,2025-12-31,Retail Dealer - Cannabis,,,,2431,W 41ST AV,Vancouver,BC,CA,V6M 2A5,Arbutus-Ridge,7.0,5618.0,2026-07-01T02:32:22-07:00,,,-123.161821001427,49.234942050657,0,5618.0,Other
26,4876832,26-154247,00,Rafah Jamal Mohammed Al-Mutarreb & Hermann Fink Fuentes,DUSTY BIRD & CHEATCODE GAMES,Issued,2025-12-29T20:28:19-08:00,2026-12-31,Retail Dealer,,,,1898,MAIN ST,Vancouver,BC,,V5T 3B7,Mount Pleasant,2.0,277.0,2026-07-22T00:08:58-07:00,,,-123.100340717367,49.2685246610611,0,277.0,Retail Dealer
26,4860556,26-137972,00,Pacific Immigrant Resources Society,,Issued,2025-12-08T10:16:39-08:00,2026-12-31,Association or Society,,,,1874,KINGSWAY,Vancouver,BC,CA,V5N 2S7,Kensington-Cedar Cottage,50.0,2.0,2026-07-22T00:08:57-07:00,,,-123.067007474179,49.2457066127283,0,2.0,Association or Society
25,4806495,25-281359,00,(Rachel Moxham),,Issued,2025-09-25T08:44:32-07:00,2025-12-31,Health Care Professionals and Services,,1105,Unit,808,NELSON ST,Vancouver,BC,,V6Z 2H2,Downtown,1.0,118.0,2026-07-01T02:32:23-07:00,,,-123.124913915747,49.2800408534638,0,118.0,Health Care Professionals and Services
24,4517615,24-137060,10,RWC Law Corporation,,Issued,2024-01-29T09:45:52-08:00,2024-12-31,Legal Services,,900,Unit,980,HOWE ST,Vancouver,BC,CA,V6Z 0C8,Downtown,1.0,,2026-07-01T02:32:17-07:00,,,-123.123326449381,49.2799917538749,1,277.0,Legal Services
24,4506921,24-126363,10,HSH Health And Wellness Corp,Broadway Move Fitness,Issued,2023-12-05T09:24:18-08:00,2024-12-31,Health Care Professionals and Services,,107,Unit,950,W BROADWAY,Vancouver,BC,CA,V5Z 1K7,Fairview,1.0,,2026-07-01T02:32:15-07:00,,,-123.125084409807,49.2630677985769,1,277.0,Health Care Professionals and Services
25,4621710,25-113989,00,Skylark Health and Wellness Inc,Skylark Counselling,Issued,2024-11-21T20:37:15-08:00,2025-12-31,Health Care Professionals and Services,,307 310 311 & 3,Unit,525,SEYMOUR ST,Vancouver,BC,CA,V6B 3H7,Downtown,4.0,265.0,2026-07-01T02:32:19-07:00,,,-123.114768826392,49.2837724104188,0,265.0,Health Care Professionals and Services
24,4515681,24-134911,10,Dialog BC Architecture Engineering Interior Design Planning Inc,,Issued,2023-12-18T10:49:25-08:00,2024-12-31,Architectural and Engineering Services,,406,Unit,611,ALEXANDER ST,Vancouver,BC,CA,V6A 1E1,Strathcona,125.0,,2026-07-01T02:32:16-07:00,,,-123.091517847618,49.2844371198102,1,277.0,Architectural and Engineering Services
25,4685937,25-164926,00,Perminder Parmar Naturopathic Physician Ltd,,Issued,2024-12-18T16:27:03-08:00,2025-12-31,Health Care Professionals and Services,,903,Unit,750,W BROADWAY,Vancouver,BC,CA,V5Z 1K1,Fairview,4.0,265.0,2026-07-01T02:32:23-07:00,,,-123.121054317485,49.2630145309513,0,265.0,Health Care Professionals and Services
24,4529136,24-148757,10,Whiskey Six BBQ Inc,,Issued,2023-12-29T20:31:47-08:00,2024-12-31,Restaurant,Class 1 with liquor service,,,826,RENFREW ST,Vancouver,BC,CA,V5K 4B6,Hastings-Sunrise,1.0,,2026-07-01T02:32:18-07:00,,,-123.04364131359,49.2770156825501,1,1384.0,Restaurant
24,4527591,24-147443,10,Club16 GP Ltd,,Issued,2023-12-12T16:52:58-08:00,2024-12-31,Rental Services,,50,Unit,1055,CANADA PLACE,Vancouver,BC,CA,V6C 0C3,Downtown,5.0,,2026-07-01T02:32:17-07:00,,,-123.116072975671,49.2897103038362,1,277.0,Other
25,4643607,25-135884,00,1421987 BC Ltd,Breezy Buys,Issued,2025-02-18T15:10:23-08:00,2025-12-31,Money Services,,,,2063,W 41ST AV,Vancouver,BC,CA,V6M 1Y7,Shaughnessy,2.0,265.0,2026-07-01T02:32:21-07:00,,,-123.153788374559,49.2348097288663,0,265.0,Other
24,4528850,24-148458,10,Sushi Loku Restaurant Ltd,Loku Japanese Cuisine,Issued,2023-12-27T02:18:33-08:00,2024-12-31,Restaurant,Class 1 with liquor service,,,2280,COMMERCIAL DRIVE,Vancouver,BC,CA,V5N 4B5,Grandview-Woodland,10.0,,2026-07-01T02:32:18-07:00,,,-123.069347288341,49.2645261603594,1,1384.0,Restaurant
26,4860147,26-137563,00,BC Pavilion Corporation,BC Place Stadium,Issued,2026-02-02T17:01:23-08:00,2026-12-31,Association or Society,Club,,,1,ROBSON ST,Vancouver,BC,CA,V6B 2A8,Downtown,355.0,61.0,2026-07-22T00:08:57-07:00,,,-123.111560051092,49.2765636940381,0,61.0,Association or Society
26,4867737,26-145153,00,(Stephen Lim),Stephen D Lim CPA,Issued,2026-02-05T11:07:10-08:00,2026-12-31,Financial Services,,1100,Unit,1200,W 73RD AV,Vancouver,BC,CA,V6P 6G5,Marpole,0.0,324.0,2026-07-22T00:08:57-07:00,,,-123.133618556976,49.2039954491368,0,324.0,Financial Services
26,4840193,26-117610,00,(Alex Durian),,Issued,2026-02-10T10:38:24-08:00,2026-12-31,Health Care Professionals and Services,,602,Unit,1401,W BROADWAY,Vancouver,BC,CA,V6H 1H6,Fairview,1.0,324.0,2026-07-22T00:08:56-07:00,,,-123.136394853056,49.2638578135372,0,324.0,Health Care Professionals and Services
24,4507783,24-126866,11,Calibrate Rehabilitation & Education Services Inc,Calibrate & Acuity Pilates Studio,Issued,2024-01-30T16:33:24-08:00,2024-12-31,Sport and Fitness Instruction,,,,3471,COMMERCIAL ST,Vancouver,BC,CA,V5N 4E8,Kensington-Cedar Cottage,1.0,,2026-07-01T02:32:16-07:00,,,-123.068373794252,49.2536525820167,1,277.0,Other
26,4875254,26-152670,00,Front & Company Enterprises Ltd,Front & Company,Issued,2025-12-29T17:47:39-08:00,2026-12-31,Retail Dealer,,,,3740,MAIN ST,Vancouver,BC,CA,V5V 3N7,Riley Park,48.0,277.0,2026-07-22T00:08:58-07:00,,,-123.100582295599,49.2515666336645,0,277.0,Retail Dealer
24,4526876,24-146765,10,1261518 BC Ltd,Granville Tobacconist,Issued,2023-12-31T16:51:49-08:00,2024-12-31,Retail Dealer - Food,,,,993,GRANVILLE ST,Vancouver,BC,CA,V6Z 1L3,Downtown,5.0,,2026-07-01T02:32:17-07:00,,,-123.123179293396,49.2795396511048,1,376.0,Retail Dealer - Food
25,4643683,25-135960,00,Justin Stitches Inc,Promosapien,Issued,2025-01-21T09:45:18-08:00,2025-12-31,Printing Imaging and Photo Services,,,,1420,FRANCES ST,Vancouver,BC,CA,V5L 1Y9,Grandview-Woodland,16.0,310.0,2026-07-01T02:32:21-07:00,,,-123.075374308659,49.2791629602222,0,310.0,Other
25,4651094,25-143371,00,Voyer Law Corporation,,Issued,2024-11-15T12:05:19-08:00,2025-12-31,Legal Services,,403,Unit,134,ABBOTT ST,Vancouver,BC,CA,V6B 2K4,Downtown,8.0,265.0,2026-07-01T02:32:21-07:00,,,-123.106005896093,49.2840832173454,0,265.0,Legal Services
24,4686068,24-310649,00,Khun LLP,Kuhn LLP,Issued,2024-12-18T14:31:37-08:00,2024-12-31,Legal Services,,320,Unit,900,HOWE ST,Vancouver,BC,CA,V6Z 2M4,Downtown,2.0,91.0,2026-07-01T02:32:23-07:00,,,-123.122279791872,49.2806751596638,0,91.0,Legal Services
25,4648848,25-141125,00,Mega International Commercial Bank Co Ltd,Mega International Commercial Bank Canada Branch,Issued,2024-11-15T14:37:30-08:00,2025-12-31,Financial Institution,,1250,Unit,1095,W PENDER ST,Vancouver,BC,CA,V6E 2M6,Downtown,13.0,1955.0,2026-07-01T02:32:21-07:00,,,-123.119720092905,49.2876127777596,0,1955.0,Other
26,4834656,26-112074,00,(Francis Cruz),Kiko,Issued,2025-12-20T23:49:17-08:00,2026-12-31,Beauty Services,Barber Shop or Beauty Salon,101,Unit,119,W PENDER ST,Vancouver,BC,CA,V6B 1S5,Downtown,1.0,376.0,2026-07-22T00:08:55-07:00,,,-123.107975239091,49.281430002815,0,376.0,Beauty Services
26,4863330,26-140746,00,Stemcell Technologies Canada Inc,,Issued,2025-11-18T11:29:02-08:00,2026-12-31,Business Support Services,,400,Unit,570,W 7TH AV,Vancouver,BC,CA,V5Z 4S6,Fairview,200.0,277.0,2026-07-22T00:08:57-07:00,,,-123.116821257583,49.2647552331022,0,277.0,Business Support Services
25,4621109,25-113388,00,Dr Harold Meinzer Chiropractic Corporation,,Issued,2025-04-30T08:50:39-07:00,2025-12-31,Health Care Professionals and Services,,640,Unit,1285,W BROADWAY,Vancouver,BC,CA,V6H 3X8,Fairview,1.0,310.0,2026-07-01T02:32:19-07:00,,,-123.133218152193,49.263970218012,0,310.0,Health Care Professionals and Services
26,4833131,26-110549,00,1491583 BC Ltd,Social,Issued,2025-12-23T10:07:07-08:00,2026-12-31,Restaurant,Class 1 with liquor service,,,1812,COMMERCIAL DRIVE,Vancouver,BC,CA,V5N 4A5,Grandview-Woodland,45.0,1876.0,2026-07-22T00:08:55-07:00,,,-123.069279374693,49.2684530107561,0,1876.0,Restaurant
25,4880720,25-298512,00,1549978 B.C. LTD.,Uncommon,Issued,2025-11-10T11:40:53-08:00,2025-12-31,Retail Dealer,,,,2418,MAIN ST,Vancouver,BC,,V5T 3E2,Mount Pleasant,1.0,118.0,2026-07-01T02:32:24-07:00,,,-123.100520867569,49.2635085010029,0,118.0,Retail Dealer
25,4618135,25-110414,00,Chris Collins Training ULC,,Issued,2024-11-18T13:49:32-08:00,2025-12-31,Business - Vocational Instruction,,1300,Unit,1500,W GEORGIA ST,Vancouver,BC,CA,V6G 2Z6,West End,2.0,265.0,2026-07-01T02:32:19-07:00,,,-123.130300416539,49.2899484858578,0,265.0,Other
24,4526666,24-146526,10,LL PHARMACY LTD.,Shoppers Drug Mart 2227,Issued,2023-11-23T17:10:28-08:00,2024-12-31,Pharmacy,,,,432,SW MARINE DRIVE,Vancouver,BC,CA,V5X 0C4,Marpole,30.0,,2026-07-01T02:32:17-07:00,,,-123.11615563155,49.209694841611,1,373.0,Other
25,4637471,25-129750,00,John Gok Git Wong & Linda Wai Lin Wong,,Issued,2025-05-28T15:28:06-07:00,2025-12-31,Long-term Rental,,,,8655,FREMLIN ST,Vancouver,BC,CA,V6P 3X4,Marpole,0.0,517.0,2026-07-01T02:32:20-07:00,,,-123.127937100922,49.207581227682,0,517.0,Long-term Rental
25,4790721,25-265962,00,(METIN KOSKER),MEDITERRANEAN SALAD AND SANDWICH BAR,Issued,2025-12-18T16:04:09-08:00,2025-12-31,Limited Service Food Establishment,Without Liquor,2027,Unit,88,W PENDER ST,Vancouver,BC,,V6B 6N6,Downtown,2.0,132.0,2026-07-01T02:32:23-07:00,,,-123.106751856679,49.280289660285,0,132.0,Limited Service Food Establishment
25,4656419,25-148696,00,Eyedol Optical Ltd,,Issued,2024-12-11T11:12:35-08:00,2025-12-31,Retail Dealer,,149,Unit,555,W 12TH AV,Vancouver,BC,CA,V5Z 3X7,Fairview,4.0,265.0,2026-07-01T02:32:22-07:00,,,-123.116286093249,49.2608633217122,0,265.0,Retail Dealer
24,4484150,24-101579,10,Janet Wai Chun Li (Janet Li),,Issued,2023-12-08T10:26:25-08:00,2024-12-31,Long-term Rental,,,,2095,W 46th Av,Vancouver,BC,CA,V6M 2K8,Kerrisdale,0.0,,2026-07-01T02:32:14-07:00,,,-123.154809500963,49.2300183634801,1,882.0,Long-term Rental
25,4627369,25-119648,00,1097559 BC Ltd,Plato Filipino,Issued,2025-01-07T15:02:13-08:00,2025-12-31,Limited Service Food Establishment,Without Liquor,,,5175,JOYCE ST,Vancouver,BC,CA,V5R 4G8,Renfrew-Collingwood,18.0,692.0,2026-07-01T02:32:20-07:00,,,-123.032737337374,49.2377445373558,0,692.0,Limited Service Food Establishment
24,4491596,24-109217,10,In The Bag Enterprises Ltd,,Issued,2023-11-30T16:03:04-08:00,2024-12-31,General Contractor,,235,Unit,515,W PENDER ST,Vancouver,BC,CA,V6B 6H5,Downtown,0.0,,2026-07-01T02:32:14-07:00,,,-123.113123090414,49.2838690672845,1,376.0,General Contractor
24,4515171,24-134341,10,Robert M Monterio Law Corporation,,Issued,2023-11-20T07:39:03-08:00,2024-12-31,Legal Services,,509,Unit,938,HOWE ST,Vancouver,BC,CA,V6Z 1N9,Downtown,4.0,,2026-07-01T02:32:16-07:00,,,-123.122835857511,49.2803098063228,1,277.0,Legal Services
25,4649659,25-141936,00,HSW Health & Skilled Workers Cooperative,,Issued,2024-12-17T23:40:13-08:00,2025-12-31,Financial Services,,200,Unit,5128,VICTORIA DRIVE,Vancouver,BC,CA,V5P 3V2,Kensington-Cedar Cottage,0.0,265.0,2026-07-01T02:32:21-07:00,,,-123.065020284129,49.2379128791661,0,265.0,Financial Services
25,4685766,25-111140,01,Stacey Rose Paskall (Stacey Paskall),,Issued,2025-01-20T16:24:12-08:00,2025-12-31,Beauty Services,,,,1318,HORNBY ST,Vancouver,BC,CA,V6Z 1W7,Downtown,5.0,32.0,2026-07-01T02:32:23-07:00,,,-123.129734870585,49.2770193392467,0,32.0,Beauty Services
24,4484855,24-102310,10,0768271 BC Ltd,,Issued,2024-01-04T15:58:19-08:00,2024-12-31,Long-term Rental,,,,2375,YORK AV,Vancouver,BC,CA,V6K 1C8,Kitsilano,0.0,,2026-07-01T02:32:14-07:00,,,-123.159097495867,49.2720084439011,1,882.0,Long-term Rental
25,4734652,25-210925,00,Butter Confections & Tea Ltd,,Issued,2025-05-08T14:31:34-07:00,2025-12-31,Food Manufacturer Assembler and Processor,,174,Unit,628,E KENT AV SOUTH,Vancouver,BC,CA,V6N 1G8,Sunset,5.0,414.0,2026-07-01T02:32:23-07:00,,,-123.092911507335,49.2068090667402,0,414.0,Food Manufacturer Assembler and Processor
25,4619937,25-112216,00,NP DESIGNS LTD.,Third Eye Tattoo Parlour,Issued,2025-04-05T08:48:28-07:00,2025-12-31,Beauty Services,Tattoo Parlour,,,876,COMMERCIAL DIV NORTH,Vancouver,BC,CA,V5L 3Y5,Grandview-Woodland,5.0,405.0,2026-07-01T02:32:19-07:00,,,-123.069192489003,49.2769077143072,0,405.0,Beauty Services
25,4642058,25-134335,00,(Heidi Wilkinson),Flying Fox Prop Shop,Issued,2024-12-02T16:07:13-08:00,2025-12-31,Non-Food Manufacturer Assembler and Processor,,,,955,VERNON DRIVE,Vancouver,BC,CA,V6A 3P2,Strathcona,5.0,265.0,2026-07-01T02:32:21-07:00,,,-123.079380841357,49.2761355210554,0,265.0,Non-Food Manufacturer Assembler and Processor
26,4853772,26-131188,00,(Rayne Graham),,Issued,2025-12-06T07:47:33-08:00,2026-12-31,Long-term Rental,,,,2608,ONTARIO ST,Vancouver,BC,CA,V5T 2X9,Mount Pleasant,0.0,380.0,2026-07-22T00:08:57-07:00,,,-123.104647264705,49.2618357046445,0,380.0,Long-term Rental
24,4516054,24-135310,10,MIPAC Process Automation Canada Ltd,MIPAC Process Automation Canada,Issued,2023-11-27T20:31:29-08:00,2024-12-31,Architectural and Engineering Services,,300,Unit,1275,W 6TH AV,Vancouver,BC,CA,V6H 1A6,Fairview,0.0,,2026-07-01T02:32:16-07:00,,,-123.133064428914,49.2663820185595,1,277.0,Architectural and Engineering Services
24,4483715,24-101134,10,GMCW Investments Ltd,,Issued,2023-12-15T14:17:30-08:00,2024-12-31,Long-term Rental,,,,2480,W Broadway,Vancouver,BC,CA,V6K 2E7,Kitsilano,0.0,,2026-07-01T02:32:14-07:00,,,-123.161764018455,49.2636532538343,1,882.0,Long-term Rental
24,4513392,24-132398,10,Foreshore Projects Ltd,,Issued,2023-12-01T14:49:51-08:00,2024-12-31,Business Support Services,,,,1504,Duranleau St,Vancouver,BC,CA,V6H 3S4,Fairview,0.0,,2026-07-01T02:32:16-07:00,,,-123.136610284816,49.2706329069126,1,277.0,Business Support Services
26,4825129,26-102547,00,Urban One Construction Management Inc,,Issued,2026-02-09T16:34:02-08:00,2026-12-31,General Contractor,,,,50,W 7TH AV,Vancouver,BC,CA,V5Y 1L6,Mount Pleasant,10.0,723.0,2026-07-22T00:08:55-07:00,,,-123.105906469947,49.2644219025666,0,723.0,General Contractor
24,4513541,24-132564,10,FPC Insurance Consultants Inc,,Issued,2024-03-18T13:31:48-07:00,2024-12-31,Insurance Services,,1600,Unit,800,W PENDER ST,Vancouver,BC,CA,V6C 2V6,Downtown,20.0,,2026-07-01T02:32:16-07:00,,,-123.116271513516,49.2851966342089,1,277.0,Insurance Services
26,4877294,26-154709,00,0840839 BC Ltd,Burrard Acura,Issued,2025-12-02T15:48:01-08:00,2026-12-31,Vehicle Repair Detailing and Washing Services,,,,730,TERMINAL AV,Vancouver,BC,CA,V6A 2M5,Strathcona,60.0,277.0,2026-07-22T00:08:58-07:00,,,-123.088889996589,49.2704848618651,0,277.0,Vehicle Repair Detailing and Washing Services
26,4844098,26-121515,00,Fornax Holdings Ltd,Cobs Bread,Issued,2025-12-31T14:43:18-08:00,2026-12-31,Limited Service Food Establishment,Without Liquor,,,2320,W 4TH AV,Vancouver,BC,CA,V6K 1P1,Kitsilano,10.0,723.0,2026-07-22T00:08:56-07:00,,,-123.158124452321,49.2679634333665,0,723.0,Limited Service Food Establishment
25,4767819,25-243541,00,Red Gate Arts Society,,Issued,2025-07-02T11:22:54-07:00,2025-08-22,Special Events,Arts and Culture,,,1965,Main St,Vancouver,BC,CA,V5T 3C1,Mount Pleasant,0.0,159.0,2026-07-01T02:32:23-07:00,,,-123.101244087547,49.2677039336744,0,159.0,Other
25,4619336,25-111615,00,Paulie's Barbershop Inc,Paulie's Barbershop,Issued,2024-11-29T13:31:49-08:00,2025-12-31,Beauty Services,Barber Shop or Beauty Salon,,,4326,MAIN ST,Vancouver,BC,CA,V5V 3P9,Riley Park,6.0,360.0,2026-07-01T02:32:19-07:00,,,-123.100837897201,49.2464391125612,0,360.0,Beauty Services
25,4629324,25-121603,00,Tiffany Apartments Ltd,Tiffany Gardens,Issued,2025-06-13T09:58:12-07:00,2025-12-31,Long-term Rental,,,,680,W 45TH AV,Vancouver,BC,CA,V5Z 2P6,Oakridge,0.0,327.0,2026-07-01T02:32:20-07:00,,,-123.119882263842,49.2293737673188,0,327.0,Long-term Rental
25,4656342,25-148619,00,Montreux Jewles Ltd,,Issued,2024-12-19T11:36:30-08:00,2025-12-31,Retail Dealer,,,,3288,Cambie St,Vancouver,BC,CA,V5Z 2W4,Riley Park,2.0,265.0,2026-07-01T02:32:22-07:00,,,-123.114704522384,49.2559843421867,0,265.0,Retail Dealer
25,4656128,25-148405,00,Westcoast Persian & Oriental Rug Company Inc,,Issued,2025-01-10T11:42:46-08:00,2025-12-31,Retail Dealer,,,,1705,BURRARD ST,Vancouver,BC,CA,V6J 3G6,Kitsilano,7.0,265.0,2026-07-01T02:32:22-07:00,,,-123.146019063552,49.2704104713377,0,265.0,Retail Dealer
26,5001094,26-256577,00,TERMINAL CITY DENTAL INC.,Terminal City dental,Issued,2026-07-09T13:45:38-07:00,2026-12-31,Health Care Professionals and Services,,,,875,W HASTINGS ST,Vancouver,BC,,V6C 3N9,Downtown,4.0,216.0,2026-07-22T00:08:59-07:00,,,-123.114848088901,49.2868596547397,0,216.0,Health Care Professionals and Services
24,4537821,24-226506,00,0800044 BC Ltd,Charqui Tap & Grill,Issued,2024-10-01T13:22:01-07:00,2024-12-31,Liquor Establishment,Extended - Class 1 0-65 seats,,,1955,CORNWALL AV,Vancouver,BC,CA,V6J 1C9,Kitsilano,4.0,383.0,2026-07-01T02:32:18-07:00,,,-123.149237201142,49.2727059364403,0,383.0,Liquor Establishment
26,4877547,26-154962,00,JKT Auto Body Ltd,,Issued,2025-11-14T13:31:12-08:00,2026-12-31,Vehicle Repair Detailing and Washing Services,,,,1281,FRANCES ST,Vancouver,BC,CA,V6A 1Z4,Strathcona,14.0,277.0,2026-07-22T00:08:58-07:00,,,-123.077660165835,49.2797316330111,0,277.0,Vehicle Repair Detailing and Washing Services
24,4503761,24-122846,10,New League Grooming Corp,New League Grooming,Issued,2023-12-31T23:10:52-08:00,2024-12-31,Beauty Services,Barber Shop or Beauty Salon,,,361,E BROADWAY,Vancouver,BC,CA,V5T 1W5,Mount Pleasant,4.0,,2026-07-01T02:32:15-07:00,,,-123.097269137493,49.2630296629366,1,360.0,Beauty Services
26,4843842,26-121259,00,7-Eleven Canada Inc Store 25164,7-Eleven Store,Issued,2026-01-23T09:28:09-08:00,2026-12-31,Limited Service Food Establishment,Without Liquor,,,7282,Knight St,Vancouver,BC,CA,V5P 2W8,Victoria-Fraserview,0.0,868.0,2026-07-22T00:08:56-07:00,,,-123.076602185434,49.2185207872273,0,868.0,Limited Service Food Establishment
26,4861855,26-139271,00,Cooper Equipment Rentals Limited,,Issued,2025-11-17T07:38:02-08:00,2026-12-31,Rental Services,,,,3525,LOUGHEED HIGHWAY,Vancouver,BC,CA,V5M 2A6,Hastings-Sunrise,6.0,277.0,2026-07-22T00:08:57-07:00,,,-123.027988777434,49.2647358087512,0,277.0,Other
26,4824354,26-101772,00,Japan Sky Dining Ltd,,Issued,2025-11-14T14:01:44-08:00,2026-12-31,Caterer,,102,Unit,8855,LAUREL ST,Vancouver,BC,CA,V6P 3V9,Marpole,30.0,533.0,2026-07-22T00:08:55-07:00,,,-123.125850615492,49.2048844091453,0,533.0,Other
26,4843865,26-121282,00,2L Restaurant Holding Ltd,Landmark Take-Out,Issued,2025-12-12T13:37:05-08:00,2026-12-31,Limited Service Food Establishment,Without Liquor,,,4005,CAMBIE ST,Vancouver,BC,CA,V5Z 2X9,South Cambie,3.0,723.0,2026-07-22T00:08:56-07:00,,,-123.115832149228,49.2497174505015,0,723.0,Limited Service Food Establishment
25,4644486,25-136763,00,Safari Partners Travel Inc,The Safari Partners,Issued,2024-11-18T13:45:20-08:00,2025-12-31,Tourism Services,,400,Unit,22,E 5TH AV,Vancouver,BC,CA,V5T 1G8,Mount Pleasant,2.0,265.0,2026-07-01T02:32:21-07:00,,,-123.104305356489,49.2662134404944,0,265.0,Other
25,4656618,25-148895,00,Morton & Morton Ltd,Wild Birds Nature Shop,Issued,2025-03-04T14:39:56-08:00,2025-12-31,Retail Dealer,,,,1302,W BROADWAY,Vancouver,BC,CA,V6H 1H2,Fairview,6.0,310.0,2026-07-01T02:32:22-07:00,,,-123.133998557665,49.263206503998,0,310.0,Retail Dealer
25,4648038,25-140315,00,RLG International Inc,,Issued,2024-11-18T13:34:01-08:00,2025-12-31,Consulting and Management Services,,550,Unit,925,W GEORGIA ST,Vancouver,BC,CA,V6C 3L2,Downtown,25.0,265.0,2026-07-01T02:32:21-07:00,,,-123.119779336932,49.2843274008411,0,265.0,Consulting and Management Services
24,4503618,24-122697,10,Dr R J Kowalewski Inc,Mini Medi Spa,Issued,2023-11-23T13:14:45-08:00,2024-12-31,Beauty Services,Beauty and Wellness Centre,102,Unit,1625,HORNBY ST,Vancouver,BC,CA,V6Z 2M2,Downtown,2.0,,2026-07-01T02:32:15-07:00,,,-123.133773867535,49.275110353581,1,360.0,Beauty Services
24,4528935,24-148548,10,0996212 BC Ltd,Pizzeria Bufala,Issued,2024-05-02T12:16:51-07:00,2024-12-31,Restaurant,Class 1 with liquor service,,,5395,WEST BOULEVARD,Vancouver,BC,CA,V6M 3W4,Arbutus-Ridge,18.0,,2026-07-01T02:32:18-07:00,,,-123.15585584437,49.2374456791423,1,1384.0,Restaurant
25,4619179,25-111458,00,Cut My Hair Inc,Cut My Hair Barber Shop,Issued,2024-12-04T19:42:22-08:00,2025-12-31,Beauty Services,Barber Shop or Beauty Salon,,,978,DENMAN ST,Vancouver,BC,CA,V6G 2M1,West End,2.0,360.0,2026-07-01T02:32:19-07:00,,,-123.138073797387,49.2894846906061,0,360.0,Beauty Services
24,4501392,24-209174,10,Royal Bank of Canada,RBC Royal Bank,Issued,2024-04-26T09:39:44-07:00,2024-12-31,Financial Institution,,,,6373,FRASER ST,Vancouver,BC,CA,V5W 3A3,Sunset,13.0,,2026-07-01T02:32:15-07:00,,,-123.091122503997,49.2268536547245,1,2043.0,Other
24,4509753,24-128893,10,1057045 BC Ltd,Bubble Waffle Cafe,Issued,2023-12-28T20:41:55-08:00,2024-12-31,Limited Service Food Establishment,,222,Unit,1055,W GEORGIA ST,Vancouver,BC,CA,V0N 1V0,Downtown,5.0,,2026-07-01T02:32:16-07:00,,,-123.121463646921,49.2852447964792,1,723.0,Limited Service Food Establishment
